"Plot Title: G9903341_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Y Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Z Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","End Of File (LGR S/N: 9903341)"
249,04/25/15 05:20:40 AM,0.000,-0.125,1.025,
250,04/25/15 05:20:45 AM,0.175,-0.025,1.025,
251,04/25/15 05:20:50 AM,0.075,-0.225,1.025,
252,04/25/15 05:20:55 AM,0.100,-0.175,1.025,
253,04/25/15 05:21:00 AM,-0.075,-0.125,1.050,
254,04/25/15 05:21:05 AM,-0.025,-0.125,1.000,
255,04/25/15 05:21:10 AM,0.025,-0.075,0.975,
256,04/25/15 05:21:15 AM,0.025,-0.125,1.025,
257,04/25/15 05:21:20 AM,-0.100,-0.150,1.000,
258,04/25/15 05:21:25 AM,0.000,-0.175,1.025,
259,04/25/15 05:21:30 AM,-0.075,-0.075,0.975,
260,04/25/15 05:21:35 AM,0.025,-0.175,0.975,
261,04/25/15 05:21:40 AM,0.050,-0.125,1.025,
262,04/25/15 05:21:45 AM,-0.075,-0.125,0.975,
263,04/25/15 05:21:50 AM,-0.300,-0.125,0.925,
264,04/25/15 05:21:55 AM,-0.025,-0.125,1.025,
265,04/25/15 05:22:00 AM,-0.175,-0.050,1.075,
266,04/25/15 05:22:05 AM,-0.025,-0.200,1.050,
267,04/25/15 05:22:10 AM,-0.100,-0.100,0.975,
268,04/25/15 05:22:15 AM,-0.325,-0.100,0.975,
269,04/25/15 05:22:20 AM,0.000,-0.200,1.025,
270,04/25/15 05:22:25 AM,0.025,-0.125,1.025,
271,04/25/15 05:22:30 AM,0.000,-0.100,1.000,
272,04/25/15 05:22:35 AM,0.050,-0.175,1.100,
273,04/25/15 05:22:40 AM,-0.025,-0.100,1.000,
274,04/25/15 05:22:45 AM,0.050,-0.075,1.025,
275,04/25/15 05:22:50 AM,-0.100,-0.025,1.050,
276,04/25/15 05:22:55 AM,-0.225,-0.075,1.025,
277,04/25/15 05:23:00 AM,-0.150,-0.125,1.000,
278,04/25/15 05:23:05 AM,-0.125,-0.075,0.975,
279,04/25/15 05:23:10 AM,0.050,-0.125,0.975,
280,04/25/15 05:23:15 AM,0.275,0.275,0.975,
281,04/25/15 05:23:20 AM,-0.025,-0.175,1.025,
282,04/25/15 05:23:25 AM,-0.150,-0.200,1.050,
283,04/25/15 05:23:30 AM,-0.100,-0.175,0.950,
284,04/25/15 05:23:35 AM,0.050,-0.125,0.975,
285,04/25/15 05:23:40 AM,0.050,-0.025,0.975,
286,04/25/15 05:23:45 AM,0.000,-0.200,1.025,
287,04/25/15 05:23:50 AM,0.025,-0.050,0.975,
288,04/25/15 05:23:55 AM,-0.050,-0.125,1.025,
289,04/25/15 05:24:00 AM,-0.125,-0.275,0.975,
290,04/25/15 05:24:05 AM,-0.150,-0.175,1.025,
291,04/25/15 05:24:10 AM,-0.125,-0.200,0.975,
292,04/25/15 05:24:15 AM,0.150,-0.275,1.025,
293,04/25/15 05:24:20 AM,0.000,-0.150,0.975,
294,04/25/15 05:24:25 AM,-0.100,-0.175,1.000,
295,04/25/15 05:24:30 AM,0.000,-0.125,1.050,
296,04/25/15 05:24:35 AM,0.050,-0.075,1.025,
