"Plot Title: G9903339_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Y Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Z Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","End Of File (LGR S/N: 9903339)"
328,04/25/15 05:27:15 AM,0.975,0.025,-0.175,
329,04/25/15 05:27:20 AM,0.975,0.025,-0.150,
330,04/25/15 05:27:25 AM,0.975,0.000,-0.125,
331,04/25/15 05:27:30 AM,0.975,0.025,-0.150,
332,04/25/15 05:27:35 AM,0.975,0.050,-0.150,
333,04/25/15 05:27:40 AM,0.975,0.025,-0.225,
334,04/25/15 05:27:45 AM,0.975,-0.025,-0.125,
335,04/25/15 05:27:50 AM,0.975,-0.100,-0.175,
336,04/25/15 05:27:55 AM,0.975,-0.075,-0.200,
337,04/25/15 05:28:00 AM,0.975,-0.050,-0.175,
338,04/25/15 05:28:05 AM,0.975,-0.075,-0.175,
339,04/25/15 05:28:10 AM,0.975,-0.125,-0.175,
340,04/25/15 05:28:15 AM,0.975,0.025,-0.250,
341,04/25/15 05:28:20 AM,0.975,0.000,-0.175,
342,04/25/15 05:28:25 AM,0.975,0.025,-0.175,
343,04/25/15 05:28:30 AM,0.975,0.050,-0.275,
344,04/25/15 05:28:35 AM,0.975,0.025,-0.125,
345,04/25/15 05:28:40 AM,0.975,0.075,-0.225,
346,04/25/15 05:28:45 AM,0.975,0.025,-0.175,
347,04/25/15 05:28:50 AM,0.975,0.025,-0.125,
348,04/25/15 05:28:55 AM,0.975,0.075,-0.200,
349,04/25/15 05:29:00 AM,0.975,-0.025,-0.100,
350,04/25/15 05:29:05 AM,0.975,0.025,-0.250,
351,04/25/15 05:29:10 AM,0.975,-0.075,-0.075,
352,04/25/15 05:29:15 AM,0.950,-0.075,-0.275,
353,04/25/15 05:29:20 AM,0.975,0.025,-0.125,
354,04/25/15 05:29:25 AM,0.975,-0.075,-0.125,
355,04/25/15 05:29:30 AM,0.975,0.075,-0.225,
356,04/25/15 05:29:35 AM,0.975,-0.025,-0.075,
357,04/25/15 05:29:40 AM,0.950,0.125,-0.250,
358,04/25/15 05:29:45 AM,0.975,-0.125,-0.025,
359,04/25/15 05:29:50 AM,0.975,0.025,-0.225,
360,04/25/15 05:29:55 AM,0.975,-0.025,-0.200,
361,04/25/15 05:30:00 AM,0.950,0.025,-0.325,
362,04/25/15 05:30:05 AM,0.975,-0.075,-0.225,
363,04/25/15 05:30:10 AM,0.950,0.000,-0.325,
364,04/25/15 05:30:15 AM,0.975,-0.025,-0.225,
365,04/25/15 05:30:20 AM,0.975,0.025,-0.175,
366,04/25/15 05:30:25 AM,0.975,-0.025,-0.175,
367,04/25/15 05:30:30 AM,0.950,0.125,-0.275,
368,04/25/15 05:30:35 AM,0.975,-0.025,-0.125,
369,04/25/15 05:30:40 AM,0.950,0.075,-0.325,
370,04/25/15 05:30:45 AM,0.975,-0.075,-0.200,
371,04/25/15 05:30:50 AM,0.950,0.100,-0.300,
372,04/25/15 05:30:55 AM,0.975,-0.025,-0.100,
373,04/25/15 05:31:00 AM,0.975,-0.025,-0.250,
374,04/25/15 05:31:05 AM,0.975,0.050,-0.175,
375,04/25/15 05:31:10 AM,0.975,-0.025,-0.250,
376,04/25/15 05:31:15 AM,0.975,0.100,-0.225,
