"Plot Title: G10091230_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Max: X Accel, g (LGR S/N: 10091230)","Max: Y Accel, g (LGR S/N: 10091230)","Max: Z Accel, g (LGR S/N: 10091230)","End Of File (LGR S/N: 10091230)"
304,04/25/15 03:06:00 PM,0.975,0.100,-0.200,
305,04/25/15 03:08:00 PM,0.975,0.175,-0.175,
306,04/25/15 03:10:00 PM,0.975,0.175,-0.200,
307,04/25/15 03:12:00 PM,0.975,0.150,-0.175,
308,04/25/15 03:14:00 PM,0.975,0.125,-0.175,
309,04/25/15 03:16:00 PM,0.975,0.150,-0.175,
310,04/25/15 03:18:00 PM,0.975,0.175,-0.200,
311,04/25/15 03:20:00 PM,0.975,0.125,-0.200,
312,04/25/15 03:22:00 PM,0.975,0.200,-0.200,
313,04/25/15 03:24:00 PM,0.975,0.150,-0.225,
314,04/25/15 03:26:00 PM,0.975,0.150,-0.225,
315,04/25/15 03:28:00 PM,0.975,0.100,-0.200,
316,04/25/15 03:30:00 PM,0.975,0.150,-0.200,
317,04/25/15 03:32:00 PM,0.975,0.125,-0.200,
318,04/25/15 03:34:00 PM,0.975,0.125,-0.200,
319,04/25/15 03:36:00 PM,0.975,0.150,-0.200,
320,04/25/15 03:38:00 PM,0.975,0.175,-0.200,
321,04/25/15 03:40:00 PM,0.975,0.125,-0.200,
322,04/25/15 03:42:00 PM,0.975,0.175,-0.225,
323,04/25/15 03:44:00 PM,0.975,0.100,-0.150,
324,04/25/15 03:46:00 PM,0.975,0.125,-0.175,
325,04/25/15 03:48:00 PM,0.975,0.125,-0.175,
326,04/25/15 03:50:00 PM,0.975,0.175,-0.175,
327,04/25/15 03:52:00 PM,0.975,0.125,-0.225,
328,04/25/15 03:54:00 PM,0.975,0.125,-0.200,
329,04/25/15 03:56:00 PM,0.975,0.150,-0.225,
330,04/25/15 03:58:00 PM,0.975,0.200,-0.225,
331,04/25/15 04:00:00 PM,0.975,0.125,-0.175,
332,04/25/15 04:02:00 PM,0.975,0.150,-0.175,
333,04/25/15 04:04:00 PM,0.975,0.125,-0.175,
334,04/25/15 04:06:00 PM,0.975,0.150,-0.225,
335,04/25/15 04:08:00 PM,0.975,0.125,-0.225,
336,04/25/15 04:10:00 PM,0.975,0.125,-0.225,
337,04/25/15 04:12:00 PM,0.975,0.125,-0.200,
338,04/25/15 04:14:00 PM,0.975,0.200,-0.225,
339,04/25/15 04:16:00 PM,0.975,0.100,-0.200,
340,04/25/15 04:18:00 PM,0.975,0.100,-0.225,
341,04/25/15 04:20:00 PM,0.975,0.175,-0.175,
342,04/25/15 04:22:00 PM,0.975,0.200,-0.200,
343,04/25/15 04:24:00 PM,0.975,0.175,-0.200,
344,04/25/15 04:26:00 PM,0.975,0.125,-0.200,
345,04/25/15 04:28:00 PM,0.975,0.125,-0.225,
346,04/25/15 04:30:00 PM,0.975,0.175,-0.225,
347,04/25/15 04:32:00 PM,0.975,0.150,-0.200,
348,04/25/15 04:34:00 PM,0.975,0.125,-0.225,
349,04/25/15 04:36:00 PM,0.975,0.125,-0.200,
350,04/25/15 04:38:00 PM,0.975,0.125,-0.175,
351,04/25/15 04:40:00 PM,0.975,0.150,-0.225,
352,04/25/15 04:42:00 PM,0.975,0.150,-0.225,
353,04/25/15 04:44:00 PM,0.975,0.125,-0.225,
354,04/25/15 04:46:00 PM,0.975,0.150,-0.225,
355,04/25/15 04:48:00 PM,0.975,0.150,-0.200,
356,04/25/15 04:50:00 PM,0.975,0.175,-0.225,
357,04/25/15 04:52:00 PM,0.975,0.125,-0.175,
358,04/25/15 04:54:00 PM,0.975,0.150,-0.175,
359,04/25/15 04:56:00 PM,0.975,0.150,-0.200,
360,04/25/15 04:58:00 PM,0.975,0.125,-0.150,
361,04/25/15 05:00:00 PM,0.975,0.100,-0.200,
362,04/25/15 05:02:00 PM,0.975,0.150,-0.200,
363,04/25/15 05:04:00 PM,0.975,0.150,-0.200,
364,04/25/15 05:06:00 PM,0.975,0.125,-0.200,
365,04/25/15 05:08:00 PM,0.975,0.150,-0.175,
366,04/25/15 05:10:00 PM,0.975,0.125,-0.175,
367,04/25/15 05:12:00 PM,0.975,0.175,-0.225,
368,04/25/15 05:14:00 PM,0.975,0.150,-0.200,
369,04/25/15 05:16:00 PM,0.975,0.125,-0.225,
370,04/25/15 05:18:00 PM,0.975,0.125,-0.200,
371,04/25/15 05:20:00 PM,0.975,0.175,-0.175,
372,04/25/15 05:22:00 PM,0.975,0.150,-0.200,
373,04/25/15 05:24:00 PM,0.975,0.100,-0.225,
374,04/25/15 05:26:00 PM,0.975,0.125,-0.175,
375,04/25/15 05:28:00 PM,0.975,0.100,-0.200,
376,04/25/15 05:30:00 PM,0.975,0.125,-0.200,
377,04/25/15 05:32:00 PM,0.975,0.125,-0.225,
378,04/25/15 05:34:00 PM,0.975,0.075,-0.200,
379,04/25/15 05:36:00 PM,0.975,0.150,-0.200,
380,04/25/15 05:38:00 PM,0.975,0.125,-0.175,
381,04/25/15 05:40:00 PM,0.975,0.125,-0.225,
382,04/25/15 05:42:00 PM,0.975,0.100,-0.200,
383,04/25/15 05:44:00 PM,0.975,0.175,-0.175,
384,04/25/15 05:46:00 PM,0.975,0.075,-0.225,
385,04/25/15 05:48:00 PM,0.975,0.150,-0.200,
386,04/25/15 05:50:00 PM,0.975,0.125,-0.200,
387,04/25/15 05:52:00 PM,0.975,0.100,-0.225,
388,04/25/15 05:54:00 PM,0.975,0.150,-0.175,
389,04/25/15 05:56:00 PM,0.975,0.150,-0.225,
390,04/25/15 05:58:00 PM,0.975,0.125,-0.200,
391,04/25/15 06:00:00 PM,0.975,0.175,-0.200,
392,04/25/15 06:02:00 PM,0.975,0.150,-0.200,
393,04/25/15 06:04:00 PM,0.975,0.150,-0.200,
394,04/25/15 06:06:00 PM,0.975,0.150,-0.225,
395,04/25/15 06:08:00 PM,0.975,0.125,-0.175,
396,04/25/15 06:10:00 PM,0.975,0.125,-0.175,
397,04/25/15 06:12:00 PM,0.975,0.125,-0.225,
398,04/25/15 06:14:00 PM,0.975,0.175,-0.225,
399,04/25/15 06:16:00 PM,0.975,0.125,-0.225,
400,04/25/15 06:18:00 PM,0.975,0.125,-0.200,
